"question","answer"
"What is phishing?","Phishing is a cyber attack where criminals pretend to be trusted sources to trick people into giving sensitive information like passwords or credit card details."
"How do I recognize a phishing email?","Phishing emails often include urgent language, spelling mistakes, suspicious links, and requests for personal or financial information."
"What should I do if I click a suspicious link?","Stop interacting immediately, close the page, and run a security scan on your device. Change your passwords if you entered any information."
"Why are strong passwords important?","Strong passwords protect your accounts by making it harder for attackers to guess or crack them using automated tools."
"What is two-factor authentication?","Two-factor authentication adds an extra security step, like a code sent to your phone, to verify your identity."
"What is a fake website?","A fake website is designed to look real but is created to steal your login credentials or personal data."
"How can I check if a website is safe?","Check for HTTPS, verify the domain name carefully, and avoid entering personal data on unfamiliar websites."
"Why do hackers use phishing attacks?","Phishing is effective because it targets human behavior, tricking people into giving information instead of hacking systems directly."
"What is social engineering?","Social engineering is when attackers manipulate people into revealing confidential information or performing actions that compromise security."
"What is malware?","Malware is malicious software designed to damage systems, steal data, or gain unauthorized access to devices."
"What is a phishing link?","A phishing link is a malicious URL designed to trick users into visiting fake websites that steal information."
"What is email spoofing?","Email spoofing is when attackers fake the sender address to make an email look like it comes from a trusted source."
"How do attackers trick students?","Attackers often impersonate school services or send fake alerts to create urgency and trick students into acting quickly."
"What is a strong password example?","A strong password includes uppercase and lowercase letters, numbers, and symbols, such as G7!kL9@pQ2z."
"Why should I not reuse passwords?","Reusing passwords is risky because if one account is compromised, attackers can access all accounts using the same password."
"What is HTTPS?","HTTPS encrypts communication between your browser and the website, making it harder for attackers to intercept data."
"What is the safest response to suspicious emails?","Do not click any links or attachments, and report the email or verify it through official channels."
"What is ransomware?","Ransomware is malware that locks your files and demands payment to restore access."
"Why is cybersecurity important for students?","Students are frequent targets of online scams, so cybersecurity helps protect their personal and academic information."
"What is safe browsing behavior?","Safe browsing includes avoiding suspicious links, using secure websites, and keeping software updated."
"What is a defining characteristic of a phishing attempt targeting students?","A clear sign of a phishing attack is the use of an unexpected attachments combined with a high-pressure grade updates or registration links tactic."
"How can employees identify a fake company email designed by cybercriminals?","To detect a fraudulent company email, inspect the URL closely for minor misspellings and look out for an mismatched sender domains."
"What should you do if you receive an unexpected message from a fake fraud prevention team?","Do not click anything. Contact the legitimate fraud prevention team using a known, trusted phone number or official webpage to verify."
"Why do attackers use a unclaimed reward points angle when targeting a e-commerce/retail system?","Attackers use unclaimed reward points hooks because they exploit natural human tendencies like anxiety, curiosity, or compliance."
"What is the danger of clicking a suspicious link found in a social media context?","Clicking malicious links in a social media environment can download malware, compromise user credentials, or leak sensitive network logs."
"How does a government/tax attack manipulate human psychology through official tax portal?","These attacks rely on social engineering, fabricating urgency around unclaimed refunds or urgent tax audits scenarios to bypass analytical thinking."
"What indicator reveals that a message from a supposed system administrator is fraudulent?","An primary indicator is often an generic greetings, where the address header doesn't align with the true domain of the system administrator."
"What immediate action protects your account if you enter data into a fake patient portal?","Isolate your device, change your credentials immediately across all platforms, and report the event to your security operations team."
"Why is 2fa/mfa crucial when dealing with a shipping/logistics breach in a shipping/logistics environment?","MFA acts as a critical secondary block; even if attackers steal a password via shipping/logistics, they cannot gain access without the secondary token."
"What defines safe browsing habits when navigating a gaming/entertainment portal?","Safe browsing requires checking for active HTTPS protocols, avoiding unrecognized shortlinks, and never logging in via external redirects."
"In cybersecurity, what is a defining characteristic of a spear phishing attempt targeting students?","Generally, a clear sign of a spear phishing attack is the use of an mismatched sender domains combined with a high-pressure grade updates or registration links tactic."
"How can employees identify a fake company email designed by cybercriminals?","Crucially, to detect a fraudulent company email, inspect the URL closely for minor misspellings and look out for an urgent or threatening tone."
"Can you explain what should you do if you receive an unexpected message from a fake fraud prevention team?","Do not click anything. Contact the legitimate fraud prevention team using a known, trusted phone number or official webpage to verify."
"Tell me, why do attackers use a unclaimed reward points angle when targeting a e-commerce/retail system?","Security experts state that attackers use unclaimed reward points hooks because they exploit natural human tendencies like anxiety, curiosity, or compliance."
"What is the danger of clicking a suspicious link found in a social media context?","Generally, clicking malicious links in a social media environment can download malware, compromise user credentials, or leak sensitive network logs."
"How does a government/tax attack manipulate human psychology through official tax portal?","Crucially, these attacks rely on social engineering, fabricating urgency around unclaimed refunds or urgent tax audits scenarios to bypass analytical thinking."
"Can you explain what indicator reveals that a message from a supposed system administrator is fraudulent?","An primary indicator is often an unexpected attachments, where the address header doesn't align with the true domain of the system administrator."
"Tell me, what immediate action protects your account if you enter data into a fake patient portal?","Security experts state that isolate your device, change your credentials immediately across all platforms, and report the event to your security operations team."
"Why is 2fa/mfa crucial when dealing with a gaming/entertainment breach in a shipping/logistics environment?","Generally, mfa acts as a critical secondary block; even if attackers steal a password via gaming/entertainment, they cannot gain access without the secondary token."
"What defines safe browsing habits when navigating a gaming/entertainment portal?","Crucially, safe browsing requires checking for active HTTPS protocols, avoiding unrecognized shortlinks, and never logging in via external redirects."
"In cybersecurity, what is a defining characteristic of a smishing (sms) attempt targeting students?","A clear sign of a smishing (sms) attack is the use of an generic greetings combined with a high-pressure grade updates or registration links tactic."
"How can employees identify a fake company email designed by cybercriminals?","To detect a fraudulent company email, inspect the URL closely for minor misspellings and look out for an suspiciously shortened URLs."
"Can you explain what should you do if you receive an unexpected message from a fake fraud prevention team?","Security experts state that contact the legitimate fraud prevention team using a known, trusted phone number or official webpage to verify."
