Timestamp,Device_Type,Malware_Detection,Phishing_Attempts,Social_Media_Usage,VPN_Usage,Cyberbullying_Reports,Parental_Control_Alerts,Firewall_Logs,Login_Attempts,Download_Risk,Password_Strength,Data_Breach_Notifications,Online_Purchase_Risk,Education_Content_Usage,Age_Group,Geolocation,Public_Network_Usage,Network_Type,Hours_Online,Website_Visits,Peer_Interactions,Risky_Website_Visits,Cloud_Service_Usage,Unencrypted_Traffic,Ad_Clicks,Insecure_Login_Attempts,E_Safety_Awareness_Score,Malware_Exposure_Risk,Cybersecurity_Behavior_Category,Year,Month,Hour,DayOfWeek,Hours_Online_capped,Firewall_Logs_extreme,Password_Strength_enc,Social_Media_Usage_enc,Peer_Interactions_enc,E_Safety_Awareness_Score_enc,Education_Content_Usage_enc,Cybersecurity_Behavior_enc,Is_Minor
2017-01-01 00:00:00,Mobile,0,0,Low,0,0,0,4,2,0,Weak,0,0,High,17-19,EU,0,WiFi,1.8218702,2,Low,0,0,0,0,0,Moderate,1,Safe,2017,1,0,Sunday,1.8218702,0,0,0,0,1,2,0,0
2017-01-01 01:00:00,Desktop,0,0,Low,0,0,0,4,2,0,Weak,0,0,High,13-16,US,0,Cellular,3.9959552,4,Low,0,0,0,0,0,Moderate,0,Neutral,2017,1,1,Sunday,3.9959552,0,0,0,0,1,2,1,0
2017-01-01 02:00:00,Laptop,0,0,Low,0,0,0,0,1,0,Moderate,0,0,None,13-16,ASIA,1,Ethernet,0.52901113,2,Low,0,0,0,0,0,Moderate,0,Neutral,2017,1,2,Sunday,0.52901113,0,1,0,0,1,0,1,0
2017-01-01 03:00:00,Mobile,0,0,Low,0,0,1,2,3,0,Moderate,0,0,None,13-16,US,1,WiFi,7.9521947,3,Low,0,0,0,1,1,Moderate,0,Safe,2017,1,3,Sunday,7.9521947,0,1,0,0,1,0,0,0
2017-01-01 04:00:00,Mobile,0,1,Medium,0,0,0,2,3,0,Weak,0,0,Low,13-16,US,0,WiFi,3.0053434,3,Low,0,0,0,0,0,Moderate,0,Risky,2017,1,4,Sunday,3.0053434,0,0,1,0,1,1,2,0
2017-01-01 05:00:00,Mobile,0,0,Medium,0,0,1,2,1,0,Strong,0,0,None,13-16,US,0,Other,2.237152,5,Low,0,0,0,0,0,Low,0,Safe,2017,1,5,Sunday,2.237152,0,2,1,0,0,0,0,0
2017-01-01 06:00:00,Mobile,1,0,High,1,0,0,1,3,0,Weak,0,0,Low,<13,US,0,WiFi,0.54792666,8,Low,0,0,0,0,0,Low,0,Neutral,2017,1,6,Sunday,0.54792666,0,0,2,0,0,1,1,1
2017-01-01 07:00:00,Tablet,0,1,Low,0,1,0,3,1,0,Moderate,0,0,High,13-16,Other,0,Other,1.3741583,1,Low,0,0,0,0,0,Low,0,Risky,2017,1,7,Sunday,1.3741583,0,1,0,0,0,2,2,0
2017-01-01 08:00:00,Mobile,0,1,Low,0,0,0,6,1,0,Weak,0,0,Low,13-16,ASIA,1,WiFi,6.5045366,3,Low,0,0,0,0,0,High,0,Neutral,2017,1,8,Sunday,6.5045366,0,0,0,0,2,1,1,0
2017-01-01 09:00:00,Laptop,0,1,Low,1,0,1,3,1,0,Moderate,0,0,None,13-16,EU,0,Cellular,0.122158356,1,Low,0,0,0,0,0,Low,0,Safe,2017,1,9,Sunday,0.122158356,0,1,0,0,0,0,0,0
2017-01-01 10:00:00,Mobile,0,1,Medium,0,0,0,6,1,0,Weak,0,0,None,13-16,US,0,Cellular,1.3026533,5,Low,0,0,0,0,0,Low,0,Safe,2017,1,10,Sunday,1.3026533,0,0,1,0,0,0,0,0
2017-01-01 11:00:00,Desktop,0,0,Low,0,0,0,4,1,0,Weak,0,0,None,13-16,EU,0,Other,0.1967682,2,Low,1,0,0,0,0,High,1,Neutral,2017,1,11,Sunday,0.1967682,0,0,0,0,2,0,1,0
2017-01-01 12:00:00,Tablet,1,0,Low,0,0,0,0,1,0,Weak,0,0,None,17-19,EU,0,WiFi,9.100883,5,Low,0,0,0,1,0,Low,1,Neutral,2017,1,12,Sunday,9.100883,0,0,0,0,0,0,1,0
2017-01-01 13:00:00,Mobile,0,1,Low,1,0,0,1,1,0,Weak,0,0,High,13-16,US,1,WiFi,0.018724378,1,Low,0,0,0,1,0,Low,0,Neutral,2017,1,13,Sunday,0.018724378,0,0,0,0,0,2,1,0
2017-01-01 14:00:00,Mobile,0,1,Low,0,0,0,1,3,0,Moderate,0,0,None,17-19,EU,0,Ethernet,0.74643,7,Low,0,0,0,0,0,Low,1,Safe,2017,1,14,Sunday,0.74643,0,1,0,0,0,0,0,0
